0 0 69 0 0	0 0 9 0 45 0 6 0 8
0 1 99 0 0	0 0 3 11 73 0 2 0 8
2 0 95 0 0	0 0 4 0 78 0 5 0 7
2 1 126 0 0	0 0 3 39 72 0 1 0 8
0 2 145 0 0	0 0 3 44 82 0 5 0 9
0 3 149 0 0	0 0 5 85 52 0 2 0 4
2 2 145 0 0	0 0 3 72 54 0 5 0 9
0 4 162 0 0	0 0 2 103 50 0 1 0 4
2 3 144 0 0	0 0 4 86 46 0 1 0 5
0 5 168 0 0	0 0 5 108 48 0 1 0 4
2 4 153 0 0	0 0 4 92 50 0 1 0 4
0 6 179 0 0	0 0 2 122 48 0 1 0 4
2 5 165 0 0	0 0 2 109 47 0 2 0 4
0 7 190 0 0	0 0 2 130 50 0 2 0 4
2 6 173 0 0	0 0 2 116 48 0 1 0 3
2 7 184 0 0	0 0 2 125 50 0 1 0 4
0 8 200 0 0	0 0 2 138 53 0 1 0 4
2 8 192 0 0	0 0 2 135 48 0 1 0 4
0 9 209 0 0	0 0 3 150 48 0 1 0 4
2 9 196 0 0	0 0 3 138 48 0 1 0 4
0 10 221 0 0	0 0 2 163 49 0 1 0 4
2 10 210 0 0	0 0 2 152 48 0 1 0 4
0 11 231 0 0	0 0 2 172 49 0 1 0 4
2 11 221 0 0	0 0 2 160 51 0 1 0 4
0 12 241 0 0	0 0 2 182 50 0 1 0 4
0 13 249 0 0	0 0 2 189 50 0 1 0 4
2 12 237 0 0	0 0 2 172 52 0 1 0 8
0 14 262 0 0	0 0 3 202 49 0 1 0 5
2 13 244 0 0	0 0 2 184 48 0 1 0 7
2 14 245 0 0	0 0 2 189 46 0 1 0 6
0 15 268 0 0	0 0 2 212 47 0 1 0 4
2 15 264 0 0	0 0 4 193 59 0 1 0 4
0 16 292 0 0	0 0 2 220 63 0 1 0 4
1 0 90 0 0	0 0 4 0 70 0 6 0 9
2 16 287 0 0	0 0 2 219 56 0 1 0 6
0 17 314 0 0	0 0 2 243 62 0 1 0 3
1 1 109 0 0	0 0 5 27 68 0 1 0 7
2 17 320 0 0	0 0 2 235 76 0 1 0 4
0 18 352 17 24	0 0 2 262 80 0 1 0 4
3 0 109 0 0	0 0 6 0 89 0 5 0 8
1 2 160 0 0	0 0 4 56 84 0 4 0 9
2 18 356 17 24	0 0 2 271 73 0 1 0 6
0 19 398 17 24	0 0 3 305 82 0 1 0 4
3 1 148 0 0	0 0 3 52 82 0 1 0 7
1 3 190 0 0	0 0 5 101 76 0 1 0 4
2 19 391 17 24	0 0 3 304 75 0 1 0 6
0 20 436 17 24	0 0 2 348 78 0 1 0 4
1 4 230 0 0	0 0 3 144 76 0 1 0 4
3 2 196 0 0	0 0 3 95 83 0 5 0 8
2 20 435 17 24	0 0 3 340 84 0 1 0 6
0 21 473 17 24	0 0 2 387 77 0 1 0 4
1 5 264 0 0	0 0 3 176 78 0 1 0 4
3 3 229 0 0	0 0 4 137 80 0 1 0 4
2 21 479 17 24	0 0 2 384 83 0 1 0 6
0 22 513 17 24	0 0 2 425 79 0 1 0 4
3 4 269 0 0	0 0 3 179 79 0 1 0 4
1 6 304 0 0	0 0 2 214 82 0 1 0 3
2 22 515 17 24	0 0 2 428 76 0 1 0 6
0 23 547 17 24	0 0 4 459 75 0 2 0 4
3 5 313 0 0	0 0 2 224 80 0 1 0 4
1 7 350 0 0	0 0 4 259 80 0 1 0 4
2 23 552 17 24	0 0 5 456 81 0 1 0 7
0 24 588 17 24	0 0 2 501 77 0 2 0 4
1 8 391 0 0	0 0 2 301 81 0 1 0 4
3 6 351 0 0	0 0 3 259 82 0 1 0 4
2 24 596 17 24	0 0 2 506 78 0 1 0 6
0 25 622 17 24	0 0 3 538 71 0 2 0 7
1 9 426 0 0	0 0 3 337 80 0 1 0 4
3 7 395 0 0	0 0 3 302 84 0 1 0 4
2 25 627 17 24	0 0 2 539 79 0 1 0 4
0 26 651 17 24	0 0 3 566 74 0 2 0 4
1 10 468 0 0	0 0 4 381 77 0 1 0 4
3 8 445 0 0	0 0 4 349 85 0 1 0 4
0 27 688 17 24	0 0 2 604 73 0 2 0 4
2 26 667 17 24	0 0 4 578 78 0 1 0 4
1 11 498 0 0	0 0 3 415 72 0 1 0 5
3 9 495 0 0	0 0 2 396 89 0 2 0 4
0 28 722 17 24	0 0 3 634 76 0 2 0 4
2 27 710 17 24	0 0 2 623 78 0 1 0 4
1 12 537 0 0	0 0 2 453 75 0 1 0 4
3 10 532 0 0	0 0 5 440 80 0 2 0 4
0 29 763 17 24	0 0 3 674 78 0 2 0 4
2 28 749 17 24	0 0 3 660 79 0 1 0 4
1 13 571 12 24	0 0 4 483 77 0 1 0 4
3 11 578 0 0	0 0 2 486 81 0 2 0 5
0 30 799 17 24	0 0 3 709 79 0 2 0 4
2 29 795 17 24	0 0 2 700 82 0 2 0 6
1 14 612 12 24	0 0 2 526 77 0 1 0 4
3 12 612 11 24	0 0 3 523 79 0 2 0 4
0 31 840 12 24	0 0 2 753 77 0 2 0 4
2 30 832 17 24	0 0 3 739 80 0 2 0 6
1 15 644 12 24	0 0 3 559 76 0 1 0 4
3 13 659 11 24	0 0 2 567 82 0 2 0 5
0 32 874 12 24	0 0 3 786 77 0 2 0 4
2 31 876 12 25	0 0 2 784 79 0 2 0 6
1 16 683 12 24	0 0 2 600 74 0 1 0 4
0 33 917 12 24	0 0 2 827 79 0 2 0 4
3 14 703 11 24	0 0 3 604 86 0 2 0 5
2 32 913 12 25	0 0 3 819 82 0 2 0 5
1 17 719 12 24	0 0 3 629 79 0 1 0 4
0 34 951 12 24	0 0 3 863 76 0 2 0 4
3 15 743 11 24	0 0 2 656 77 0 2 0 4
2 33 954 12 25	0 0 3 861 81 0 2 0 5
1 18 763 12 24	0 0 2 674 79 0 1 0 4
0 35 990 12 24	0 0 2 904 75 0 2 0 4
3 16 775 11 24	0 0 4 687 76 0 1 0 4
2 34 1000 12 25	0 0 3 907 81 0 2 0 5
1 19 800 12 24	0 0 3 710 80 0 1 0 3
0 36 1022 12 24	0 0 3 936 75 0 2 0 4
3 17 812 11 24	0 0 2 724 78 0 2 0 4
2 35 1041 12 25	0 0 2 949 80 0 2 0 5
1 20 843 12 24	0 0 2 755 79 0 1 0 4
0 37 1062 12 24	0 0 2 975 76 0 2 0 5
3 18 859 11 24	0 0 3 767 80 0 2 0 5
1 21 874 12 24	0 0 3 790 74 0 1 0 4
2 36 1093 12 25	0 0 3 985 82 0 16 0 4
0 38 1096 12 24	0 0 3 1007 77 0 2 0 5
3 19 896 11 24	0 0 3 804 78 0 4 0 4
1 22 913 12 24	0 0 2 830 74 0 1 0 4
2 37 1123 12 25	0 0 2 1033 79 0 2 0 5
0 39 1138 12 24	0 0 2 1048 78 0 2 0 5
3 20 941 11 24	0 0 3 846 84 0 2 0 4
1 23 952 12 24	0 0 3 860 82 0 1 0 5
2 38 1179 12 25	0 0 3 1067 77 0 23 0 7
0 40 1170 12 24	0 0 4 1082 76 0 2 0 4
3 21 977 11 24	0 0 6 884 78 0 3 0 4
1 24 1000 12 24	0 0 2 906 84 0 1 0 4
2 39 1203 12 25	0 0 2 1109 84 0 2 0 4
0 41 1215 12 24	0 0 2 1124 80 0 2 0 4
3 22 1014 11 24	0 0 2 930 74 0 2 0 4
1 25 1044 12 24	0 0 3 946 83 0 1 0 8
0 42 1247 12 24	0 0 3 1160 75 0 3 0 4
2 40 1268 12 25	0 0 3 1149 87 0 21 0 6
3 23 1051 11 24	0 0 4 958 77 0 5 0 4
1 26 1089 12 25	0 0 2 995 81 0 1 0 7
2 41 1293 12 25	0 0 2 1202 81 0 2 0 4
0 43 1290 12 24	0 0 2 1200 80 0 2 0 4
3 24 1091 11 24	0 0 2 1002 79 0 2 0 5
1 27 1124 12 25	0 0 3 1032 78 0 1 0 8
0 44 1327 12 25	0 0 3 1236 80 0 2 0 4
2 42 1349 12 25	0 0 3 1238 82 0 20 0 4
3 25 1131 12 25	0 0 6 1033 80 0 5 0 5
1 28 1165 12 25	0 0 2 1075 77 0 1 0 7
2 43 1381 12 25	0 0 3 1285 86 0 2 0 4
0 45 1371 12 25	0 0 2 1281 80 0 2 0 4
3 26 1170 12 25	0 0 2 1082 77 0 2 0 5
1 29 1200 12 25	0 0 3 1109 78 0 1 0 7
2 44 1431 12 25	0 0 3 1327 82 0 13 0 4
3 27 1209 12 25	0 0 3 1114 80 0 5 0 5
0 46 1427 12 25	0 0 3 1317 79 0 22 0 4
1 30 1240 12 25	0 0 2 1152 78 0 1 0 4
2 45 1464 12 25	0 0 2 1374 79 0 4 0 4
0 47 1452 12 25	0 0 2 1360 83 0 1 0 4
3 28 1251 12 25	0 0 2 1160 81 0 2 0 5
1 31 1271 12 25	0 0 3 1186 76 0 1 0 4
2 46 1501 12 25	0 0 4 1407 80 0 4 0 3
0 48 1508 12 25	0 0 2 1400 77 0 22 0 4
3 29 1295 12 25	0 0 4 1196 82 0 7 0 5
1 32 1312 12 25	0 0 3 1226 76 0 1 0 4
2 47 1543 12 25	0 0 2 1453 80 0 1 0 4
0 49 1531 12 25	0 0 3 1440 79 0 1 0 4
3 30 1335 12 25	0 0 2 1243 81 0 2 0 5
1 33 1346 12 25	0 0 4 1259 77 0 1 0 4
2 48 1578 12 25	0 0 4 1487 77 0 4 0 4
0 50 1588 12 25	0 0 2 1477 80 0 22 0 4
3 31 1375 12 25	0 0 4 1279 80 0 5 0 5
1 34 1387 12 25	0 0 4 1300 76 0 1 0 4
2 49 1622 12 25	0 0 2 1532 81 0 1 0 4
0 51 1608 12 25	0 0 3 1520 77 0 1 0 4
3 32 1415 12 25	0 0 3 1324 79 0 2 0 5
1 35 1419 12 25	0 0 3 1334 75 0 1 0 3
2 50 1670 12 25	0 0 3 1568 82 0 5 0 11
0 52 1660 12 25	0 0 2 1556 75 0 19 0 5
3 33 1454 12 25	0 0 4 1359 81 0 3 0 5
1 36 1459 12 25	0 0 3 1373 77 0 1 0 3
0 53 1679 12 25	0 0 3 1594 75 0 1 0 4
2 51 1701 12 25	0 0 2 1615 76 0 1 0 4
3 34 1510 12 25	0 0 3 1405 92 0 2 0 6
1 37 1510 12 25	0 0 4 1404 79 0 18 0 3
0 54 1709 12 25	0 0 2 1630 70 0 1 0 4
2 52 1732 12 25	0 0 3 1647 72 0 4 0 4
1 38 1545 12 25	0 0 5 1447 81 0 6 0 3
3 35 1549 12 25	0 0 4 1453 80 0 5 0 5
0 55 1748 12 25	0 0 3 1656 77 0 6 0 4
2 53 1774 12 25	0 0 2 1685 77 0 4 0 4
3 36 1581 12 25	0 0 2 1500 69 0 2 0 5
1 39 1584 12 24	0 0 2 1487 73 0 16 0 4
2 54 1810 12 25	0 0 4 1717 80 0 4 0 4
0 56 1794 12 25	0 0 2 1698 85 0 2 0 4
1 40 1612 12 24	0 0 5 1521 79 0 1 0 3
3 37 1615 12 25	0 0 4 1524 76 0 4 0 4
