2 0 58 0 0	0 0 2 0 42 0 5 0 6
2 1 58 0 0	0 0 2 3 40 0 5 0 6
2 2 61 0 0	0 0 2 4 41 0 6 0 7
2 3 66 0 0	0 0 2 8 42 0 6 0 6
2 4 68 0 0	0 0 2 11 42 0 6 0 6
2 5 70 0 0	0 0 2 13 41 0 6 0 6
2 6 70 0 0	0 0 2 14 40 0 6 0 6
2 7 70 0 0	0 0 2 15 40 0 6 0 6
2 8 69 0 0	0 0 2 15 39 0 6 0 6
2 9 71 0 0	0 0 2 14 41 0 6 0 6
2 10 72 0 0	0 0 4 14 40 0 6 0 6
2 11 73 0 0	0 0 2 16 40 0 6 0 7
2 12 72 0 0	0 0 2 16 40 0 6 0 6
2 13 72 0 0	0 0 2 17 39 0 6 0 6
2 14 71 0 0	0 0 2 16 39 0 6 0 5
2 15 71 0 0	0 0 2 16 39 0 6 0 5
2 16 83 0 0	0 0 2 16 51 0 6 0 6
2 17 81 0 0	0 0 14 15 39 0 6 0 5
2 18 77 0 0	0 0 2 23 39 0 6 0 5
2 19 80 0 0	0 0 2 26 39 0 6 0 5
2 20 79 0 0	0 0 2 26 39 0 6 0 5
2 21 79 0 0	0 0 2 25 39 0 6 0 6
2 22 78 0 0	0 0 2 24 39 0 6 0 6
2 23 78 0 0	0 0 2 23 39 0 6 0 6
2 24 78 23 24	0 0 2 23 39 0 6 0 6
2 25 79 23 24	0 0 2 23 39 0 7 0 7
2 26 79 23 24	0 0 2 22 39 0 8 0 6
2 27 79 23 24	0 0 2 21 39 0 8 0 7
2 28 76 23 24	0 0 2 18 40 0 8 0 6
2 29 79 23 24	0 0 2 22 40 0 8 0 6
2 30 81 23 24	0 0 2 22 40 0 9 0 5
2 31 81 23 24	0 0 2 23 40 0 9 0 5
2 32 83 23 24	0 0 2 23 41 0 10 0 5
2 34 97 23 24	0 0 2 30 43 0 13 0 6
2 36 106 23 24	0 0 3 42 42 0 11 0 6
2 38 115 23 24	0 0 3 49 42 0 13 0 6
2 39 117 23 24	0 0 2 52 43 0 13 0 6
2 40 120 23 24	0 0 2 55 42 0 13 0 5
2 41 140 23 24	0 0 2 58 55 0 17 0 6
2 42 144 23 24	0 0 2 73 43 0 17 0 6
2 43 147 23 24	0 0 14 65 46 0 14 0 6
2 44 149 23 24	0 0 2 83 43 0 14 0 5
2 45 154 23 24	0 0 3 86 43 0 15 0 6
2 46 158 23 24	0 0 2 90 43 0 14 0 6
2 48 173 22 25	0 0 2 98 49 0 16 0 6
2 49 178 22 25	0 0 2 108 43 0 18 0 4
2 50 180 22 25	0 0 2 112 44 0 17 0 4
2 51 181 22 25	0 0 2 113 43 0 17 0 4
2 52 187 22 25	0 0 3 118 44 0 15 0 4
2 54 211 22 25	0 0 2 139 44 0 18 0 4
2 56 221 22 25	0 0 2 152 44 0 17 0 4
2 57 244 22 25	0 0 3 155 59 0 20 0 5
2 58 272 22 25	0 0 2 173 70 0 20 0 5
2 59 306 22 25	0 0 2 207 63 0 28 0 4
2 60 339 22 25	0 0 2 230 76 0 25 0 4
2 61 400 22 25	0 0 3 265 97 0 29 0 4
2 62 415 22 25	0 0 9 317 66 0 18 0 4
2 63 420 22 25	0 0 3 345 49 0 17 0 4
2 64 434 22 25	0 0 3 358 49 0 18 0 4
2 65 448 22 25	0 0 4 366 52 0 18 0 5
2 66 458 22 25	0 0 7 373 51 0 20 0 5
2 67 472 18 24	0 0 2 393 53 0 17 0 4
2 68 476 18 24	0 0 5 400 49 0 15 0 4
2 69 497 18 24	0 0 24 395 54 0 18 0 5
2 70 506 18 24	0 0 2 427 55 0 15 0 4
2 71 520 18 24	0 0 2 442 53 0 16 0 4
2 72 538 18 24	0 0 3 459 53 0 17 0 4
2 73 554 18 24	0 0 2 474 55 0 17 0 5
2 74 568 18 24	0 0 2 489 55 0 16 0 5
2 75 584 18 24	0 0 2 504 55 0 16 0 5
2 76 607 18 24	0 0 2 516 58 0 21 0 9
2 77 622 18 24	0 0 3 537 53 0 22 0 6
2 78 622 18 24	0 0 2 550 44 0 20 0 4
2 79 676 18 24	0 0 2 555 61 0 51 0 4
0 0 158 0 0	0 0 7 0 136 0 5 0 8
1 0 159 0 0	0 0 6 0 139 0 6 0 7
2 80 748 18 24	0 0 11 565 127 0 39 0 4
0 1 240 0 0	0 0 23 80 117 0 6 0 11
1 1 247 0 0	0 0 24 81 122 0 10 0 7
2 81 827 18 24	0 0 2 664 116 0 38 0 4
1 2 327 0 0	0 0 6 181 115 0 14 0 8
0 2 328 0 0	0 0 5 176 121 0 16 0 8
2 82 907 18 24	0 0 2 741 116 0 43 0 3
0 3 399 0 0	0 0 5 257 119 0 10 0 6
1 3 403 0 0	0 0 5 258 121 0 13 0 4
2 83 989 14 24	0 0 5 815 124 0 40 0 3
0 4 484 0 0	0 0 6 335 120 0 17 0 4
1 4 484 0 0	0 0 5 339 120 0 15 0 4
2 84 1065 14 24	0 0 2 898 117 0 43 0 3
0 5 563 0 0	0 0 4 417 119 0 16 0 4
1 5 563 0 0	0 0 5 420 117 0 16 0 3
2 85 1150 14 24	0 0 2 978 122 0 42 0 3
1 6 645 0 0	0 0 5 497 120 0 17 0 4
0 6 650 0 0	0 0 5 496 122 0 21 0 4
2 86 1229 14 24	0 0 2 1060 119 0 42 0 3
0 7 727 0 0	0 0 5 579 120 0 17 0 4
1 7 732 0 0	0 0 4 578 120 0 24 0 3
2 87 1311 14 24	0 0 6 1136 118 0 45 0 3
1 8 825 7 24	0 0 5 663 137 0 15 0 3
0 8 833 7 24	0 0 5 663 145 0 15 0 3
2 88 1408 14 24	0 0 2 1216 147 0 38 0 3
1 9 911 7 24	0 0 5 756 124 0 20 0 3
0 9 913 7 24	0 0 4 765 121 0 17 0 3
2 89 1497 14 24	0 0 1 1327 121 0 41 0 3
1 10 994 7 24	0 0 5 840 125 0 18 0 4
0 10 1005 7 24	0 0 6 845 128 0 20 0 4
2 90 1575 14 24	0 0 2 1409 118 0 42 0 3
1 11 1084 7 24	0 0 5 930 124 0 18 0 4
0 11 1101 7 24	0 0 5 939 124 0 27 0 4
2 91 1653 14 24	0 0 2 1480 121 0 44 0 3
1 12 1177 7 24	0 0 5 1011 126 0 30 0 4
0 12 1177 7 24	0 0 5 1019 118 0 29 0 4
2 92 1740 8 25	0 0 3 1562 126 0 44 0 3
0 13 1259 7 24	0 0 6 1097 124 0 27 0 4
1 13 1261 7 24	0 0 5 1097 124 0 29 0 4
2 93 1825 8 25	0 0 2 1652 125 0 41 0 3
0 14 1351 7 24	0 0 5 1186 123 0 31 0 4
1 14 1351 7 24	0 0 5 1186 123 0 32 0 3
2 94 1914 8 25	0 0 4 1738 123 0 44 0 3
0 15 1430 7 24	0 0 5 1266 122 0 31 0 3
1 15 1431 7 24	0 0 5 1266 122 0 32 0 3
2 95 2000 8 25	0 0 16 1806 125 0 46 0 3
1 16 1536 7 24	0 0 5 1348 121 0 55 0 4
0 16 1536 7 24	0 0 6 1348 123 0 54 0 4
2 96 2102 8 25	0 0 3 1908 125 0 60 0 3
1 17 1626 7 24	0 0 5 1434 147 0 34 0 3
0 17 1628 7 24	0 0 5 1436 145 0 36 0 4
2 97 2187 8 25	0 0 4 1990 142 0 45 0 4
1 18 1711 7 24	0 0 5 1538 125 0 37 0 3
0 18 1712 7 24	0 0 5 1538 125 0 38 0 4
2 98 2273 8 25	0 0 3 2094 125 0 45 0 4
1 19 1799 7 24	0 0 6 1623 125 0 39 0 3
