0 0 79 0 0	0 0 9 0 56 0 4 0 7
0 1 75 0 0	0 0 3 23 39 0 1 0 7
0 2 75 0 0	0 0 3 22 36 0 4 0 7
0 3 66 0 0	0 0 2 20 37 0 1 0 4
0 4 58 0 0	0 0 2 21 29 0 1 0 4
0 5 47 0 0	0 0 2 10 28 0 1 0 4
0 6 39 0 0	0 0 2 0 31 0 1 0 4
0 7 39 0 0	0 0 2 0 30 0 1 0 4
0 8 33 0 0	0 0 2 0 25 0 1 0 3
0 9 34 0 0	0 0 2 0 25 0 1 0 4
0 10 43 0 0	0 0 2 0 34 0 1 0 4
0 11 45 0 0	0 0 2 0 35 0 1 0 5
0 12 44 0 0	0 0 2 0 35 0 1 0 4
0 13 33 0 0	0 0 2 0 25 0 1 0 4
0 14 33 0 0	0 0 2 0 25 0 1 0 4
0 15 34 0 0	0 0 2 0 25 0 1 0 3
0 16 37 0 0	0 0 2 0 28 0 1 0 3
0 17 47 0 0	0 0 2 0 37 1 1 0 3
0 18 43 0 0	0 0 2 0 32 0 1 0 5
0 19 34 0 0	0 0 2 0 25 0 1 0 4
0 20 32 0 0	0 0 2 0 24 0 1 0 3
0 21 69 0 0	0 0 3 0 60 0 1 0 4
2 0 80 0 0	0 0 4 0 62 0 5 0 7
1 0 85 0 0	0 0 5 0 64 0 5 0 9
0 22 95 0 0	0 0 3 23 61 0 2 0 5
2 1 104 0 0	0 0 4 22 68 0 1 0 7
1 1 105 0 0	0 0 4 27 64 0 1 0 7
0 23 109 22 24	0 0 2 45 55 0 1 0 4
2 2 137 0 0	0 0 4 50 65 0 7 0 8
1 2 140 0 0	0 0 5 50 70 0 6 0 7
0 24 113 22 24	0 0 4 59 44 0 1 0 4
2 3 146 0 0	0 0 4 76 59 0 1 0 4
1 3 149 0 0	0 0 5 81 57 0 1 0 4
0 25 132 22 24	0 0 2 65 58 0 1 0 4
2 4 168 0 0	0 1 2 100 57 0 1 0 5
1 4 171 0 0	0 0 2 105 57 0 1 0 4
0 26 148 22 24	0 0 3 82 56 0 1 0 4
2 5 179 0 0	0 0 4 109 60 0 1 0 4
1 5 183 0 0	0 0 5 114 57 0 1 0 4
0 27 168 22 24	0 0 2 100 58 0 1 0 4
2 6 206 0 0	0 0 2 139 57 0 1 0 4
1 6 207 0 0	0 0 3 139 58 0 1 0 5
