0 0 57 0 0	0 0 7 0 37 0 4 0 7
1 0 65 0 0	0 0 3 0 46 0 4 0 9
0 1 60 0 0	0 0 3 0 47 0 1 0 7
1 1 62 0 0	0 0 3 7 43 0 1 0 7
0 2 71 0 0	0 0 5 5 45 0 4 1 7
1 2 70 0 0	0 0 3 10 44 0 4 0 7
0 3 67 0 0	0 0 2 17 40 0 1 0 5
1 3 69 0 0	0 0 2 19 41 0 1 0 4
0 4 73 0 0	0 0 3 17 46 0 1 0 4
1 4 72 0 0	0 0 2 20 42 0 1 0 4
0 5 79 0 0	0 0 2 25 45 0 1 0 4
1 5 74 0 0	0 0 2 23 42 0 1 0 4
0 6 83 0 0	0 0 2 31 43 0 1 0 4
1 6 74 0 0	0 0 4 24 40 0 1 0 3
0 7 82 0 0	0 0 2 30 42 0 2 0 4
1 7 78 0 0	0 0 2 26 43 0 1 0 4
0 8 83 0 0	0 0 2 33 41 0 1 0 4
1 8 77 0 0	0 0 2 29 39 0 1 0 3
0 9 90 0 0	0 0 3 37 43 0 1 0 4
1 9 78 0 0	0 0 2 29 41 0 1 0 4
0 10 91 0 0	0 0 2 41 41 0 1 0 4
1 10 80 0 0	0 0 2 30 41 0 1 0 4
0 11 94 0 0	0 0 2 42 42 0 1 0 4
1 11 81 0 0	0 0 2 28 41 0 1 0 6
0 12 97 0 0	0 0 2 45 42 0 1 0 4
1 12 80 0 0	0 0 2 30 40 0 1 0 5
0 13 97 0 0	0 0 2 47 40 0 1 0 4
1 13 87 0 0	0 0 3 33 43 0 1 0 4
0 14 100 0 0	0 0 2 48 43 0 1 0 4
1 14 87 0 0	0 0 2 38 40 0 1 0 4
0 15 102 0 0	0 0 2 51 41 0 1 0 4
1 15 87 0 0	0 0 2 38 40 0 1 0 4
0 16 104 0 0	0 0 3 52 41 0 1 0 4
1 16 87 0 0	0 0 2 38 39 1 1 0 3
0 17 107 0 0	0 0 2 55 41 0 1 0 5
1 17 85 0 0	0 0 2 37 39 0 1 0 4
0 18 109 0 0	0 0 2 56 41 0 1 0 6
1 18 86 0 0	0 0 2 37 39 0 1 0 5
0 19 110 0 0	0 0 2 58 43 0 1 0 4
1 19 86 0 0	0 0 2 36 41 0 1 0 3
1 20 88 0 0	0 0 3 37 42 0 1 0 4
0 20 115 0 0	0 0 2 61 45 0 2 0 4
1 21 91 0 0	0 0 2 40 43 0 1 0 4
