2 0 67 0 0	0 0 5 0 50 0 4 0 6
2 1 92 0 0	0 0 6 9 60 0 8 0 7
3 0 113 0 0	0 0 2 0 98 0 4 0 7
2 2 146 0 0	0 0 2 34 87 0 14 0 7
3 1 156 0 0	0 0 3 56 80 0 6 0 9
2 3 183 0 0	0 0 3 80 85 0 8 0 3
3 2 217 0 0	0 0 3 97 91 0 16 0 7
2 4 267 0 0	0 0 8 125 115 0 14 0 3
1 0 166 0 0	0 0 3 0 147 0 5 0 9
0 0 167 0 0	0 0 3 0 150 0 5 0 7
3 3 321 0 0	0 0 4 147 149 0 13 0 6
2 5 383 0 0	0 0 2 202 158 0 15 0 4
1 1 279 0 0	0 0 5 106 150 0 8 0 8
0 1 285 0 0	0 0 3 111 152 0 10 0 7
3 4 423 0 0	0 0 3 255 145 0 14 0 4
2 6 505 0 0	0 0 3 324 158 0 15 0 3
1 2 402 0 0	0 0 5 216 156 0 12 0 10
3 5 543 0 0	0 0 3 362 156 0 16 0 3
0 2 406 0 0	0 0 3 223 153 0 17 0 7
2 7 617 0 0	0 0 2 438 155 0 17 0 3
1 3 518 0 0	0 0 4 334 160 0 12 0 6
0 3 512 0 0	0 0 2 337 150 0 16 0 4
3 6 668 0 0	0 0 2 484 159 0 18 0 3
2 8 767 0 0	0 0 2 558 185 0 15 0 5
1 4 656 0 0	0 0 5 453 179 0 13 0 4
0 4 662 0 0	0 0 3 447 188 0 17 0 4
3 7 803 0 0	0 0 5 597 178 0 18 0 4
2 9 878 8 24	0 0 3 698 157 0 14 0 4
1 5 777 0 0	0 0 4 594 157 0 17 0 4
3 8 926 7 24	0 0 3 741 161 0 15 0 5
0 5 794 0 0	0 0 3 596 169 0 20 0 4
2 10 1000 8 24	0 0 2 818 159 0 15 0 4
1 6 895 5 24	0 0 5 710 157 0 16 0 4
3 9 1041 7 24	0 0 3 858 156 0 16 0 6
0 6 915 5 24	0 0 3 725 161 0 19 0 5
