0 0 76 0 0	5 10 2 0 41 0 5 0 11
0 1 82 0 0	0 0 2 17 49 0 5 0 7
0 2 83 0 0	0 0 2 26 40 0 5 0 7
0 3 82 0 0	0 0 2 27 40 0 7 0 3
0 4 87 0 0	0 0 2 31 41 0 8 0 3
0 5 87 0 0	0 0 2 33 39 0 8 0 3
0 6 87 0 0	0 0 3 31 38 0 8 0 3
0 7 83 0 0	0 0 3 31 38 0 6 0 3
0 8 82 0 0	0 0 2 30 38 0 6 0 3
0 9 81 0 0	0 0 2 29 38 0 6 0 3
0 10 80 0 0	0 0 2 28 38 0 6 0 4
0 11 80 0 0	0 0 2 27 39 0 6 0 4
0 12 79 0 0	0 0 2 26 39 0 6 0 4
0 13 77 0 0	0 0 2 25 38 0 6 0 3
0 14 76 0 0	0 0 2 24 38 0 6 0 3
0 15 74 0 0	0 0 2 23 38 0 6 0 3
0 16 73 0 0	0 0 2 22 38 0 6 0 3
0 17 73 0 0	0 0 2 20 38 0 7 0 3
0 18 70 0 0	0 0 2 19 38 0 6 0 3
0 19 69 0 0	0 0 2 18 38 0 6 0 3
0 20 68 0 0	0 0 2 17 38 0 6 0 3
0 21 66 0 0	0 0 2 15 38 0 6 0 3
0 22 65 0 0	0 0 2 14 38 0 6 0 3
0 23 64 0 0	0 0 2 12 38 0 6 0 3
0 24 62 23 24	0 0 2 11 38 0 6 0 3
0 25 62 23 24	0 0 2 10 38 0 6 0 4
0 26 63 23 24	0 0 2 8 40 0 7 0 4
0 27 64 23 24	0 0 3 8 39 0 8 0 4
0 28 63 23 24	0 0 2 8 39 0 8 0 3
0 29 62 23 24	0 0 2 8 39 0 8 0 3
0 30 64 23 24	0 0 2 8 39 0 10 0 3
0 31 64 23 24	0 0 2 7 40 0 10 0 3
0 32 65 23 24	0 0 2 7 40 0 10 0 4
0 33 66 23 24	0 0 2 8 40 0 11 0 3
0 34 67 23 24	0 0 3 8 40 0 11 0 3
0 35 68 23 24	0 0 1 10 40 0 11 0 3
0 36 69 23 24	0 0 2 10 41 0 12 0 3
0 37 71 23 24	0 0 2 11 41 0 12 0 3
0 38 72 23 24	0 0 2 12 41 0 13 0 3
0 39 75 23 24	0 0 2 13 41 0 13 0 3
0 40 77 23 24	0 0 2 15 41 0 13 0 3
0 41 80 23 24	0 0 2 17 42 0 14 0 3
0 42 84 23 24	0 0 2 19 42 0 15 0 3
0 43 88 23 24	0 0 2 22 43 0 16 0 3
0 44 91 23 24	0 0 2 25 43 0 16 0 3
0 45 94 23 24	0 0 2 28 42 0 17 0 3
0 46 95 23 24	0 0 3 29 41 0 17 0 3
0 47 99 23 24	0 0 3 31 42 0 18 0 3
0 48 102 23 24	0 0 2 34 43 0 17 0 3
0 49 105 24 25	0 0 3 37 44 0 16 0 3
0 50 109 24 25	0 0 1 43 43 0 16 0 3
0 51 112 24 25	0 0 2 46 43 0 16 0 3
0 52 135 24 25	0 0 2 50 60 0 18 0 3
0 53 139 24 25	0 0 1 70 43 0 18 0 3
0 54 142 24 25	0 0 2 74 43 0 18 0 3
0 55 143 24 25	0 0 2 73 45 0 17 0 3
0 56 148 24 25	0 0 3 82 43 0 15 0 3
0 57 150 24 25	0 0 3 85 42 0 15 0 3
0 58 151 24 25	0 0 2 89 42 0 13 0 3
0 59 154 24 25	0 0 2 92 41 0 14 0 3
0 60 156 24 25	0 0 3 93 42 0 14 0 3
0 61 158 24 25	0 0 2 96 42 0 14 0 3
0 62 161 24 25	0 0 2 98 42 0 14 0 3
0 63 166 24 25	0 0 2 100 42 0 17 0 3
0 64 169 24 25	0 0 2 102 42 0 17 0 3
0 65 169 24 25	0 0 2 102 42 0 18 0 4
0 66 173 24 25	0 0 2 104 43 0 18 0 4
0 67 180 24 25	0 0 2 111 44 0 18 0 3
0 68 183 24 25	0 0 3 114 42 0 17 0 4
0 69 186 24 25	0 0 3 117 44 0 17 0 3
0 70 189 24 25	0 0 3 122 43 0 15 0 3
0 71 192 24 25	0 0 2 126 43 0 15 0 4
0 72 195 22 24	0 0 2 130 43 0 15 0 3
0 73 200 22 24	0 0 2 133 43 0 17 0 4
0 74 205 22 24	0 0 2 137 44 0 17 0 4
0 75 210 22 24	0 0 2 141 43 0 18 0 4
0 76 217 22 24	0 0 2 145 45 0 19 0 4
0 77 228 22 24	0 0 2 151 45 0 22 0 6
0 78 229 22 24	0 0 2 156 44 0 19 0 6
0 79 230 22 24	0 0 2 160 44 0 17 0 4
0 80 234 22 24	0 0 3 165 44 0 17 0 4
0 81 237 22 24	0 0 4 168 43 0 16 0 4
0 82 235 22 24	0 0 3 168 43 0 16 0 3
0 83 239 22 24	0 0 2 175 43 0 15 0 3
0 84 246 22 24	0 0 3 179 42 0 16 0 3
0 85 250 22 24	0 0 2 183 42 0 17 0 3
0 86 254 22 24	0 0 2 185 45 0 17 0 3
0 87 259 22 24	0 0 2 191 42 0 19 0 3
0 88 259 22 24	0 0 2 190 43 0 18 0 3
0 89 261 22 24	0 0 2 194 44 0 16 0 3
0 90 265 22 24	0 0 2 202 43 0 14 0 3
0 91 268 22 24	0 0 2 205 41 0 14 0 3
0 92 270 22 24	0 0 3 206 42 0 14 0 3
0 93 272 22 24	0 0 3 208 41 0 15 0 3
0 94 276 22 24	0 0 3 209 42 0 15 0 3
0 95 279 22 24	0 0 2 214 42 0 15 0 3
0 96 283 22 24	0 0 3 215 44 0 15 0 3
0 97 289 22 24	0 0 2 221 43 0 18 0 3
0 98 293 22 24	0 0 2 225 43 0 18 0 3
0 99 298 22 24	0 0 2 228 43 0 20 0 3
0 100 301 22 24	0 0 2 231 43 0 19 0 3
0 101 305 22 24	0 0 2 235 43 0 19 0 4
0 102 305 22 24	0 0 2 236 45 0 17 0 4
0 103 314 22 24	0 0 2 244 45 0 17 0 4
0 104 318 22 24	0 0 2 249 44 0 17 0 4
0 105 324 22 24	0 0 3 253 44 0 17 0 4
